iter	Passed	Remaining
0	3	344
1	6	316
2	9	298
3	11	278
4	14	277
5	17	272
6	20	273
7	23	271
8	26	270
9	29	264
10	31	254
11	33	246
12	35	238
13	37	228
14	38	220
15	40	213
16	42	205
17	43	198
18	44	191
19	46	185
20	47	178
21	48	172
22	49	167
23	51	161
24	52	156
25	53	152
26	54	147
27	55	143
28	56	138
29	57	134
30	58	131
31	59	127
32	60	123
33	61	119
34	62	116
35	63	113
36	64	109
37	65	106
38	66	103
39	67	100
40	67	97
41	68	94
42	69	91
43	70	89
44	70	86
45	71	84
46	72	81
47	73	79
48	74	77
49	75	75
50	76	73
51	76	71
52	77	69
53	78	67
54	79	64
55	80	62
56	80	61
57	81	59
58	82	57
59	83	55
60	84	53
61	85	52
62	86	50
63	87	48
64	88	47
65	89	45
66	90	44
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	100	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	106	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	10
91	112	9
92	113	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
